31/05/2018 15:00:00: 6454,1
31/05/2018 15:05:00: 6449
31/05/2018 15:10:00: 6423,3
31/05/2018 15:15:00: 6438
31/05/2018 15:20:00: 6446,1
31/05/2018 15:25:00: 6451
31/05/2018 15:30:00: 6447,8
31/05/2018 15:35:00: 6450
31/05/2018 15:40:00: 6458,6
31/05/2018 15:45:00: 6450,9
31/05/2018 15:50:00: 6456
31/05/2018 15:55:00: 6461,8
31/05/2018 16:00:00: 6451,6
31/05/2018 16:05:00: 6447,1
31/05/2018 16:10:00: 6456,8
31/05/2018 16:15:00: 6459,7
31/05/2018 16:20:00: 6461,2
31/05/2018 16:25:00: 6462
31/05/2018 16:30:00: 6462,1
31/05/2018 16:35:00: 6458,6
31/05/2018 16:40:00: 6454,4
31/05/2018 16:45:00: 6450,1
31/05/2018 16:50:00: 6455,2
31/05/2018 16:55:00: 6462,6
31/05/2018 17:00:00: 6470,3
31/05/2018 17:05:00: 6471
31/05/2018 17:10:00: 6484
31/05/2018 17:15:00: 6479,1
31/05/2018 17:20:00: 6480
31/05/2018 17:25:00: 6471,5
31/05/2018 17:30:00: 6467,1
31/05/2018 17:35:00: 6453,3
31/05/2018 17:40:00: 6452,4
31/05/2018 17:45:00: 6458,2
31/05/2018 17:50:00: 6458,5
31/05/2018 17:55:00: 6466
31/05/2018 18:00:00: 6464,2
31/05/2018 18:05:00: 6464,3
31/05/2018 18:10:00: 6464,2
31/05/2018 18:15:00: 6450,3
31/05/2018 18:20:00: 6454,7
31/05/2018 18:25:00: 6463,2
31/05/2018 18:30:00: 6463,1
31/05/2018 18:35:00: 6467
31/05/2018 18:40:00: 6468,9
31/05/2018 18:45:00: 6467,5
31/05/2018 18:50:00: 6469,7
31/05/2018 18:55:00: 6463,9
31/05/2018 19:00:00: 6460,6
31/05/2018 19:05:00: 6460,1
31/05/2018 19:10:00: 6460,9
31/05/2018 19:15:00: 6465,2
31/05/2018 19:20:00: 6470,5
31/05/2018 19:25:00: 6479,5
31/05/2018 19:30:00: 6473
31/05/2018 19:35:00: 6474,1
31/05/2018 19:40:00: 6484
31/05/2018 19:45:00: 6492
31/05/2018 19:50:00: 6487,1
31/05/2018 19:55:00: 6489
31/05/2018 20:00:00: 6497
31/05/2018 20:05:00: 6488,4
31/05/2018 20:10:00: 6488,8
31/05/2018 20:15:00: 6484,2
31/05/2018 20:20:00: 6484
31/05/2018 20:25:00: 6473,1
31/05/2018 20:30:00: 6474
31/05/2018 20:35:00: 6473
31/05/2018 20:40:00: 6473,1
31/05/2018 20:45:00: 6473,1
31/05/2018 20:50:00: 6473
31/05/2018 20:55:00: 6473,1
31/05/2018 21:00:00: 6462
31/05/2018 21:05:00: 6444,4
31/05/2018 21:10:00: 6464,9
31/05/2018 21:15:00: 6460
31/05/2018 21:20:00: 6447
31/05/2018 21:25:00: 6444,2
31/05/2018 21:30:00: 6455,1
31/05/2018 21:35:00: 6455,3
31/05/2018 21:40:00: 6455,3
31/05/2018 21:45:00: 6453,1
31/05/2018 21:50:00: 6445,8
31/05/2018 21:55:00: 6442
31/05/2018 22:00:00: 6433
31/05/2018 22:05:00: 6437,4
31/05/2018 22:10:00: 6446,1
31/05/2018 22:15:00: 6454
31/05/2018 22:20:00: 6454,3
31/05/2018 22:25:00: 6455,5
31/05/2018 22:30:00: 6449,9
31/05/2018 22:35:00: 6448,2
31/05/2018 22:40:00: 6452,3
31/05/2018 22:45:00: 6450,1
31/05/2018 22:50:00: 6440
31/05/2018 22:55:00: 6435,8
31/05/2018 23:00:00: 6441,3
31/05/2018 23:05:00: 6441,1
31/05/2018 23:10:00: 6445
31/05/2018 23:15:00: 6445
31/05/2018 23:20:00: 6451,4
31/05/2018 23:25:00: 6450,5
31/05/2018 23:30:00: 6450,1
31/05/2018 23:35:00: 6450,8
